inv_date,invoice_number,account,part_number,qty,sell_price,total_sale_value,disc,cost_price,total_cost_value,profit
1/2/2017,INV7792946,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
1/2/2017,INV7792946,ELEMERA,P404389,1,20.3832,20.3832,36,17.529552,17.529552,2.853648
1/2/2017,INV7792946,ELEMERA,P404389,1,20.3832,20.3832,36,17.529552,17.529552,2.853648
1/2/2017,INV7792946,ELEMERA,P255767,1,21.717,21.717,36,18.67662,18.67662,3.04038
1/2/2017,INV7792946,ELEMERA,P255767,1,21.717,21.717,36,18.67662,18.67662,3.04038
1/2/2017,INV7792946,ELEMERA,P493724,1,333.45,333.45,36,286.767,286.767,46.683
1/2/2017,INV7792946,ELEMERA,P883496,1,116.3313,116.3313,36,100.044918,100.044918,16.286382
3/14/2017,INV7792531,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
3/14/2017,INV7792531,ELEMERA,P253339,4,247.95,991.8,36,213.237,852.948,138.852
3/14/2017,INV7792531,ELEMERA,P753309,2,17.8011,35.6022,36,15.308946,30.617892,4.984308
3/14/2017,INV7792531,ELEMERA,P860046,2,3.8817,7.7634,36,3.338262,6.676524,1.086876
3/14/2017,INV7792531,ELEMERA,P896509,1,11.6793,11.6793,36,10.044198,10.044198,1.635102
3/14/2017,INV7792531,ELEMERA,P924249,2,7.8831,15.7662,36,6.779466,13.558932,2.207268
3/14/2017,INV7792531,ELEMERA,P536652,1,3.762,3.762,36,3.23532,3.23532,0.52668
3/14/2017,INV7792531,ELEMERA,P134927,1,3.2319,3.2319,36,2.779434,2.779434,0.452466
3/14/2017,INV7792531,ELEMERA,P332506,2,3.3858,6.7716,36,2.911788,5.823576,0.948024
3/14/2017,INV7792531,ELEMERA,P994166,1,21.2382,21.2382,36,18.264852,18.264852,2.973348
3/14/2017,INV7792531,ELEMERA,P504551,1,3.762,3.762,36,3.23532,3.23532,0.52668
3/14/2017,INV7792531,ELEMERA,P107912,3,9.0117,27.0351,36,7.750062,23.250186,3.784914
3/14/2017,INV7792531,ELEMERA,P384305,1,63.8856,63.8856,36,54.941616,54.941616,8.943984
12/4/2017,INV7792197,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
6/26/2017,INV7791393,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
6/7/2017,INV7791278,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
6/7/2017,INV7791278,ELEMERA,P253339,2,213.75,427.5,36,183.825,367.65,59.85
6/7/2017,INV7791278,ELEMERA,P489329,1,649.8,649.8,36,558.828,558.828,90.972
6/7/2017,INV7791278,ELEMERA,P231532,1,17.0658,17.0658,36,14.676588,14.676588,2.389212
6/7/2017,INV7791278,ELEMERA,P125459,1,251.4213,251.4213,36,216.222318,216.222318,35.198982
